name,county,latitude,longitude
Abbot,Pope,37.3326,-88.4156
Abingdon,Knox,40.4816,-90.2406
Adair,Mcdonough,40.2508,-90.2948
Adams,Adams,39.5155,-91.1153
Adams Corner,Wabash,38.3047,-87.4431
Addatorata Village,Cook,42.0854,-87.5625
Addieville,Washington,38.2329,-89.2924
Addison,Du Page,41.5554,-87.592
Adeline,Ogle,42.0836,-89.2925
Aden,Hamilton,38.143,-88.273
Adrian,Hancock,40.3115,-91.1001
Advance,Jasper,39.0924,-88.0144
Afolkey,Stephenson,42.2557,-89.3428
Agnew,Whiteside,41.4712,-89.48
Ahern,Kankakee,41.0915,-87.3617
Aiken,Jo Daviess,42.2109,-90.2455
Akin,Franklin,37.5916,-88.4508
Akin,Franklin,37.5917,-88.4451
Akin Junction,Franklin,38.0036,-88.4541
Akron,Peoria,40.5414,-89.3914
Aladdin,Pike,39.4259,-91.1923
Albany,Whiteside,41.4722,-90.1309
Albers,Clinton,38.3236,-89.3644
Albion,Edwards,38.2239,-88.0322
Alda,Washington,38.2746,-89.1412
Alden,McHenry,42.2732,-88.3104
Aldridge,Union,37.333,-89.2812
Aledo,Mercer,41.1159,-90.4457
Alexander,Morgan,39.4328,-90.0217
Alexis,Warren,41.0348,-90.3321
Alexis Junction,Mercer,41.0402,-90.3818
Alexis Junction,Warren,41.0402,-90.3818
Algonquin,McHenry,42.0956,-88.1739
Alhambra,Madison,38.5318,-89.4353
Aliceville,Henry,41.3308,-89.5246
Allen,Mason,40.1818,-89.3858
Allendale,Wabash,38.3136,-87.4235
Allens Corners,Kane,42.0558,-88.2853
Allens Spring,Pope,37.2208,-88.3925
Allentown,Tazewell,40.3321,-89.2348
Allenville,Moultrie,39.332,-88.3147
Allerton,Champaign,39.5442,-87.5611
Allerton,Vermilion,39.5442,-87.5611
Allright,Clark,39.175,-87.4456
Alma,Marion,38.4318,-88.5433
Almora,Kane,42.0339,-88.201
Alonzo,Iroquois,40.34,-87.4352
Alorton,St Clair,38.3523,-90.0712
Alpha,Henry,41.113,-90.2248
Alpine,Cook,41.3511,-87.5253
Alsey,Scott,39.3338,-90.2602
Alsip,Cook,41.4008,-87.4419
Alta,Peoria,40.4839,-89.3803
Altamont,Effingham,39.0343,-88.4453
Altgeld Gardens,Cook,41.3916,-87.3607
Altmar,La Salle,41.0831,-88.5333
Alto Pass,Union,37.3413,-89.1903
Alton,Madison,38.5326,-90.1103
Altona,Knox,41.0653,-90.0952
Altorf,Kankakee,41.1125,-87.5744
Alvin,Vermilion,40.183,-87.363
Alworth,Winnebago,42.1437,-89.1444
Amboy,Lee,41.4251,-89.1943
Amenia,Piatt,40.0119,-88.3959
America,Pulaski,37.0818,-89.0725
Ames,Monroe,38.0848,-90.0316
Amity,Richland,38.4635,-87.5527
Anchor,Mclean,40.3405,-88.3208
Ancona,Livingston,41.0226,-88.5221
Andalusia,Rock Island,41.2621,-90.4303
Anderson,Cass,39.5856,-90.0932
Anderson,Macoupin,39.2038,-89.5042
Andover,Henry,41.1738,-90.1731
