Glen Cove	Nassau	26,964	NA	NA	40.867222, -73.627778	3605929113	3629113
Long Beach	Nassau	33,275	NA	NA	40.588056, -73.688056	3605943335	3643335
Adams	Jefferson	5,143	42.270	0.153	43.844658, -76.054289	3604500210	00978655
Addison	Steuben	2,595	25.545	0.142	42.132164, -77.234422	3610100287	00978656
Afton	Chenango	2,851	45.836	0.679	42.226305, -75.526838	3601700353	00978657
Alabama	Genesee	1,869	42.370	0.406	43.090053, -78.366480	3603700474	00978658
Albion	Orleans	8,468	25.257	0.093	43.226343, -78.209387	3607301044	00978660
Albion	Oswego	2,073	47.286	0.532	43.489292, -76.030916	3607501055	00978661
Alden	Erie	10,865	34.308	0.201	42.907256, -78.520613	3602901099	00978662
Alexander	Genesee	2,534	35.467	0.096	42.920586, -78.250065	3603701165	00978663
Alexandria	Jefferson	4,061	72.657	11.900	44.319903, -75.878414	3604501176	00978664
Alfred	Allegany	5,237	31.476	0.149	42.233273, -77.795084	3600301209	00978665
Allegany	Cattaraugus	8,004	70.923	0.658	42.091286, -78.531856	3600901297	00978666
Allen	Allegany	448	36.377	0.203	42.397400, -78.004345	3600301319	00978668
Alma	Allegany	842	36.215	0.301	42.047668, -78.016224	3600301429	00978669
Almond	Allegany	1,633	45.717	0.067	42.340932, -77.781630	3600301451	00978670
Altona	Clinton	2,887	100.983	0.357	44.841730, -73.670487	3601901583	00978672
Amboy	Oswego	1,263	37.049	0.692	43.377133, -75.918438	3607501649	00978673
Amenia	Dutchess	4,436	43.220	0.396	41.829938, -73.534020	3602701693	00978674
Amherst	Erie	122,366	53.203	0.391	43.011639, -78.757148	3602902000	00978675
Amity	Allegany	2,308	34.442	0.123	42.226466, -78.003401	3600302011	00978676
Amsterdam	Montgomery	5,566	29.701	0.733	42.955568, -74.166076	3605702077	00978678
Ancram	Columbia	1,573	42.478	0.259	42.035959, -73.580146	3602102099	00978679
Andes	Delaware	1,301	108.592	3.694	42.128419, -74.787370	3602502132	00978680
Andover	Allegany	1,830	39.430	0.066	42.150717, -77.811105	3600302154	00978681
Angelica	Allegany	1,403	36.394	0.038	42.304028, -78.015503	3600302187	00978682
Annsville	Oneida	3,012	60.167	0.308	43.345241, -75.614699	3606502253	00978683
