Adams	Jefferson	1,775	1.447	0.000	43.810092, -76.022913	3600199	02391499		Adams
Addison	Steuben	1,763	1.893	0.000	42.106321, -77.231990	3600276	02391500		Addison
Afton	Chenango	822	1.527	0.073	42.229199, -75.524750	3600342	02391501		Afton
Airmont	Rockland	8,628	4.643	0.002	41.099156, -74.097916	3600408	02391502		Ramapo
Akron	Erie	2,868	1.976	0.000	43.018115, -78.497576	3600441	02391503		Newstead
Albion	Orleans	6,056	2.920	0.000	43.246024, -78.190200	3601033	02391504		Albion & Gaines
Alden	Erie	2,605	2.718	0.000	42.898879, -78.494607	3601088	02391505		Alden
Alexander	Genesee	509	0.437	0.000	42.902021, -78.259113	3601154	02391506		Alexander
Alexandria Bay	Jefferson	1,078	0.766	0.759	44.344503, -75.922557	3601187	02391507		Alexandria
Alfred	Allegany	4,174	1.190	0.000	42.254333, -77.789646	3601198	02391508		Alfred
Allegany	Cattaraugus	1,816	0.705	0.007	42.093796, -78.492808	3601286	02391509		Allegany
Almond	Allegany & Steuben	466	0.564	0.000	42.319325, -77.738608	3601440	02391510		Almond & Hornellsville
Altamont	Albany	1,720	1.186	0.000	42.705345, -74.033633	3601517	02391511		Guilderland
Ames	Montgomery	145	0.131	0.000	42.837468, -74.601681	3601737	02391513		Canajoharie
Amityville	Suffolk	9,523	2.113	0.363	40.669844, -73.415787	3602044	02391514		Babylon
Andover	Allegany	1,042	1.001	0.015	42.156996, -77.796098	3602143	02391515		Andover
Angelica	Allegany	869	2.152	0.000	42.305506, -78.020645	3602176	02391516		Angelica
Angola	Erie	2,127	1.417	0.000	42.637885, -79.029516	3602198	02391517		Evans
Antwerp	Jefferson	686	1.035	0.033	44.200635, -75.607168	3602286	02391518		Antwerp
Arcade	Wyoming	2,071	2.649	0.003	42.530594, -78.441809	3602407	02391519		Arcade
Ardsley	Westchester	4,452	1.323	0.000	41.013550, -73.839381	3602506	02391523		Greenburgh
Argyle	Washington	306	0.350	0.000	43.236616, -73.490808	3602550	02391524		Argyle
Arkport	Steuben	844	0.694	0.000	42.392596, -77.695482	3602583	02391525		Hornellsville
Asharoken	Suffolk	654	1.471	5.015	40.939270, -73.385033	3602737	02391526		Huntington
Athens	Greene	1,668	3.420	1.185	42.271030, -73.815933	3602902	02391527		Athens
Atlantic Beach	Nassau	1,891	0.439	0.601	40.588013, -73.729360	3602968	02391528		Hempstead
Attica	Genesee & Wyoming	2,547	1.691	0.000	42.864098, -78.279810	3603001	02391529		Alexander & Attica
Aurora	Cayuga	724	0.919	0.000	42.752192, -76.698439	3603188	02391530		Ledyard
Avoca	Steuben	946	1.326	0.002	42.414883, -77.424835	3603331	02391531		Avoca
Avon	Livingston	3,394	3.099	0.000	42.912666, -77.746520	3603353	02391532		Avon
Babylon	Suffolk	12,166	2.445	0.343	40.693679, -73.326000	3603408	02391533		Babylon
Bainbridge	Chenango	1,355	1.239	0.035	42.301754, -75.479481	3604033	02391534		Bainbridge
